,input,filtered,denoised,merged,tabled,nonchim
P01-1,82111,68740,68740,33513,33486,33347
P01-2,212926,176975,176975,81758,81689,81495
P02-1,102872,75578,75578,35662,35647,35472
P02-2,66059,51380,51380,25299,25270,25161
P03-2,158585,133080,133080,63530,63454,63205
P04-1,94604,60848,60848,27483,27454,27311
P04-2,172685,147336,147336,65893,65818,65604
P05-1,104093,87668,87668,40505,40485,40365
P05-2,124644,103230,103230,46842,46802,46657
P06-1,129057,109805,109805,47532,47479,47327
P06-2,186888,156681,156681,70847,70806,70589
P07-1,85891,59240,59240,27253,27233,27059
P07-2,57896,45106,45106,20413,20401,20194
P08-1,139999,116589,116589,55043,55001,54830
P08-2,133845,112875,112875,51632,51598,51412
P09-1,48267,36802,36802,16188,16158,16007
P09-2,133589,111798,111798,52044,52024,51849
P10-1,99012,81388,81388,37579,37561,37407
P10-2,119462,96483,96483,45109,45087,44927
P11-1,102479,85662,85662,39829,39802,39639
P11-2,152471,126713,126713,59297,59254,59057
P12-1,87374,72338,72338,34294,34280,34126
P12-2,165451,138884,138884,64649,64598,64352
P13-1,108825,90680,90680,43795,43767,43605
P13-2,135827,114345,114345,53477,53442,53250
P14-1,131828,110115,110115,50233,50130,49968
P14-2,74162,62263,62263,29686,29648,29501
P15-1,162091,118777,118777,56658,56609,56434
P15-2,94410,72386,72386,35543,35525,35395
P16-1,150442,94131,94131,43651,43641,43474
P16-2,83571,52128,52128,25037,25021,24886
P17-1,160054,134464,134464,66339,66277,66093
P17-2,159768,134403,134403,67427,67351,67127
P18-1,168019,140098,140098,70338,70293,70098
P18-2,144179,119403,119403,57813,57780,57560
P19-1,203228,172445,172445,85613,85465,85205
P19-2,163277,137402,137402,66280,66175,65962
P20-1,149034,124438,124438,62666,62622,62406
P20-2,77653,64941,64941,33048,33015,32849
P21-1,250787,203841,203841,102260,102188,101879
P21-2,105611,81089,81089,42188,42172,42018
P22-1,72103,55000,55000,28756,28732,28580
P22-2,99875,66386,66386,35070,35062,34881
P23-1,177228,148186,148186,74929,74881,74659
P23-2,103218,87518,87518,44749,44712,44566
P24-1,184760,154540,154540,78127,78086,77892
P24-2,119937,102506,102506,52845,52812,52651
P25-1,151846,123721,123721,67265,67206,66977
P25-2,91175,76330,76330,42510,42476,42312
P26-1,197363,167535,167535,80343,80243,79987
P26-2,191465,148694,148694,77023,76977,76752
P27-1,138317,94551,94551,47140,47121,46978
P27-2,143583,99166,99166,50232,50199,50012
P28-1,196392,164632,164632,80832,80780,80532
P28-2,84457,70369,70369,34062,34051,33871
P29-1,124361,103493,103493,48901,48844,48647
P29-2,114043,97011,97011,45575,45550,45393
P30-1,155171,115284,115284,56913,56880,56679
P30-2,137683,115632,115632,60446,60404,60220
P31-1,140949,91237,91237,44612,44584,44390
P31-2,49185,38466,38466,22160,22152,21968
P32-1,223952,185843,185843,89631,89554,89264
P32-2,100172,84280,84280,43408,43392,43259
P33-1,143196,119727,119727,58978,58941,58777
P33-2,98528,82854,82854,43399,43362,43203
P34-1,72853,55894,55894,27175,27143,26969
P34-2,81541,68269,68269,37713,37694,37556
P35-1,158414,132451,132451,65306,65260,65051
P35-2,112475,95638,95638,48650,48621,48474
P36-1,170227,142018,142018,69281,69201,69031
P36-2,112689,94452,94452,43990,43942,43736
P37-1,132738,110027,110027,52161,52111,51920
P37-2,143909,111289,111289,52790,52769,52595
P38-1,182137,154148,154148,71435,71371,71155
P38-2,126716,81252,81252,36090,36081,35915
P39-1,134975,110718,110718,52029,51980,51794
P39-2,128897,108186,108186,50295,50260,50093
